Place	BP	FN	LN	Faction	LVO16	ITC
1	281.4	Brett	Perkins	Ren	.	650.13
2	256.64	brandon	grant	DA	26	670.73
3	234.12	Dan	Platt	CD	41	626.36
4	222.87	Matt	Root	CM	.	748.73
5	209.36	Sean	Nayden	Eldar	2	589.1
6	193.6	Carter	Leach	Corsairs	.	529.61
7	182.35	William	Abilez	Tau	33	334.78
8	171.09	Justin	Curtis	CD	.	296.75
9	150.83	Gareth	Hunt	DA	28	213.33
9	144.08	Lawrence	Baker	DE	54	389.4
11	155.33	Trent	Northington	CD	48	612.64
12	137.32	Alan	Bajramovic	SM	4	23.07
12	144.08	Jesus	Mendizabal	DE	34	287.21
14	150.83	Jon	Camacho	GSC	7	332.24
14	157.58	Tony	Grippando	Eldar	.	66.91
16	150.83	Kurt	Clauss	Eldar	16	41.99
17	123.82	Chris	Minchberg	Eldar	.	42.38
17	123.82	Sascha	Edelkraut	SM	.	36.06
17	130.57	vincent	arroyo	CSM	21	568.95
17	144.08	Eric	Hoerger	CD	.	606.99
21	155.33	Adam	Gati	Eldar	.	521.56
21	130.57	Marc	Parker	SW	132	190.74
23	144.08	Michael	Snider	DA	8	311.41
23	150.83	aaron	towler	CM	82	66.91
23	157.58	hayden	walduck	CD	.	194.56
23	130.57	Raymond	Ahumada	Eldar	.	431.62
27	144.08	Tyler	Devries	Eldar	8	558.13
27	130.57	Greg	Sparks	Eldar	.	57.06
29	137.32	Derek	Page	Eldar	91	466.23
29	130.57	Aaron	Hayden	Ren	28	490.65
31	144.08	Chase	Garber	KDK	223	486.46
32	123.82	Charlie	Kerber	CD	216	21.54
33	150.83	Dan	May	SM	132	321.37
34	130.57	Jeff	Poole	Corsairs	.	256.99
35	150.83	Mike	Kriegler	SW	132	606.58
36	157.58	Thomas	Oakey	SM	.	.
37	139.57	Paul	McKelvey	Tau	50	603.01
38	132.82	Alexander	Fennell	Necrons	5	575.42
39	146.33	Aaron	Aleong	DA	8	679.46
40	146.33	Don	Hooson	SW	244	470.56
40	130.57	John	McCool	Orks	89	447.46
42	153.08	Charles	Craig	DA	.	482.12
43	153.08	Chris	Hanes	CSM	.	578.31
43	130.57	Nathan	Cartmell	GK	.	88.75
43	139.57	Frank	Wilson	GSC	.	241.08
46	153.08	Werner	Born	SM	.	38.07
46	153.08	Richard	Martin	Tau	46	351.61
48	105.81	Jason	Rockhill	Corsairs	146	135.97
49	112.56	John	Weber	DA	.	34.03
50	103.56	Geoff	Robinson	GSC	13	600.34
51	103.56	Thomas	Colombrito	SM	.	86.52
51	90.05	Mike	Basc	Corsairs	.	.
51	90.05	Benjamin	Cherwien	Eldar	99	487.8
54	110.31	Alan	Dehesa	CSM	43	463.23
55	90.05	Dustin	Chesmer	IG	.	398.51
55	90.05	Rich	Kilton	Orks	54	415.76
57	114.81	Andrew	Gonyo	Tau	26	114.21
57	103.56	Caden	Humpherys	Necrons	.	375.98
57	103.56	Jeff	Brown	IK	.	357.53
57	103.56	Matt	Evans	Tyranids	70	32.98
57	99.05	Iain	McLeod	BA	108	451.7
57	90.05	Jesse	Wells	CSM	.	.
63	90.05	jonathan	kohatsu	DA	103	304.9
63	110.31	Julio	Rodriguez	Eldar	36	525.45
63	103.56	Matt	Johansen	Eldar	63	444.18
63	96.8	Jeremiah	Petit	Tau	.	495.14
67	96.8	Carlos	Kaiser	IG	30	467.05
67	96.8	Iain	Andrew	CSM	.	467.23
67	96.8	Nick	Nanavati	CSM	285	531.32
67	90.05	Chris	Arrington	CSM	39	89.35
67	90.05	Chance	Townsend	Tau	.	187.77
67	90.05	Farzad	Mehdipour	Eldar	57	59.04
67	103.56	Mark	Hertel	CM	.	46.99
74	117.06	Joshua	Death	CD	.	646.84
74	90.05	Joseph	Kulas	CSM	186	257.35
74	90.05	Adrian	James	IK	.	430.38
77	103.56	Michael	Schwartz	SM	90	452.76
77	103.56	Steve	Thoma	Tau	208	.
77	103.56	Brad	Chester	CD	6	593.46
77	103.56	Will	Hodges	CM	137	232.44
77	90.05	Konrad	Motyka	Eldar	.	331.1
77	96.8	Tyler	Larson	Tyranids	.	485.48
83	110.31	Zed	Chunn	DA	.	.
83	90.05	Dan	Sandri	Orks	.	.
83	96.8	Nikhil	Sinha	Tau	.	24.84
83	90.05	Eric	Tadt	Tau	.	.
83	96.8	Michael	Dehoyos	CD	.	167.65
83	90.05	Brandon	Blum	CSM	.	34.9
89	110.31	Matt	Schuchman	Eldar	63	604.7
89	103.56	Wesley	Pauley	IG	121	544.06
89	90.05	Herb	Shaffer	Corsairs	137	406.25
89	103.56	grayson	cirerol	IK	253	73.22
89	96.8	Keith	Berry	Tau	.	36.14
