P,Primary,Secondary,BP,Total,HS,SOS,Allied,EDE,Top5,SelfAllied,Inq,Eldar,DE,SM,CSM,CD,CC,Nid,Ork,SoB,SW,DA,BA,IK,GK,Nec,IG,Tau
1,SM,IG,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0
2,IK,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,0,0
3,Tau,Tau,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1
4,SM,IG,63,63,0,27,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0
5,,,60,60,0,30,0,0,0,0,0,,,,,,,,,,,,,,,,,
6,CSM,CD,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0
7,,,56,56,0,34,0,0,0,0,0,,,,,,,,,,,,,,,,,
8,Nec,Nec,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0
9,CD,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0
10,,,46,46,0,46,0,0,0,0,0,,,,,,,,,,,,,,,,,
11,Nec,,45,45,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0
12,,,42,42,0,52,0,0,0,0,0,,,,,,,,,,,,,,,,,
13,Eldar,Eldar,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
14,,,38,38,0,50,0,0,0,0,0,,,,,,,,,,,,,,,,,
15,,,30,30,0,60,0,0,0,0,0,,,,,,,,,,,,,,,,,
16,GK,SM,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
17,GK,SM,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
18,,,13,13,0,77,0,0,0,0,0,,,,,,,,,,,,,,,,,
19,,,0,0,0,60,0,0,0,0,0,,,,,,,,,,,,,,,,,
